,epochs,learning_rate,optimizer,batch_size,f1_score,loss,time_per_epoch,time
0,20,0.0001,Adam,100,0.2683749157113958,1.7365138530731201,3.231864535808563,64.63729071617126
1,20,0.0001,Adam,250,0.25724881995954146,1.9887298345565796,2.071590077877045,41.431801557540894
2,20,0.0001,Adam,500,0.2397167902899528,2.0988500118255615,1.8744441270828247,37.488882541656494
3,20,0.0001,SGD,100,0.1712744436952124,2.5008232593536377,3.2803029894828795,65.60605978965759
4,20,0.0001,SGD,250,0.1655428186109238,2.5340585708618164,2.03642076253891,40.7284152507782
5,20,0.0001,SGD,500,0.16453135536075522,2.55586576461792,1.8319590449333192,36.63918089866638
6,20,0.001,Adam,100,0.24780849629130142,1.7919403314590454,3.683213806152344,73.66427612304688
7,20,0.001,Adam,250,0.23870532703978423,2.1299636363983154,2.229799282550812,44.595985651016235
8,20,0.001,Adam,500,0.2612946729602158,2.042104959487915,1.9267107605934144,38.534215211868286
9,20,0.001,SGD,100,0.20364126770060686,2.2553865909576416,3.268060302734375,65.3612060546875
10,20,0.001,SGD,250,0.1837491571139582,2.409606456756592,1.4957343101501466,29.91468620300293
11,20,0.001,SGD,500,0.17700606877950098,2.4801108837127686,1.434461498260498,28.68922996520996
12,20,0.01,Adam,100,0.16790289952798382,12.433961868286133,2.7368026971817017,54.73605394363403
13,20,0.01,Adam,250,0.07889413351314903,15.177874565124512,1.5818679451942443,31.637358903884888
14,20,0.01,Adam,500,0.07889413351314903,14.593415260314941,1.4657318592071533,29.314637184143066
15,20,0.01,SGD,100,0.24780849629130142,1.9640653133392334,2.5063355922698975,50.12671184539795
16,20,0.01,SGD,250,0.2289278489548213,2.1684494018554688,1.4750339031219482,29.500678062438965
17,20,0.01,SGD,500,0.21948752528658125,2.29028058052063,1.465153455734253,29.30306911468506
18,30,0.0001,Adam,100,0.27006068779501013,1.6415886878967285,2.849865929285685,85.49597787857056
19,30,0.0001,Adam,250,0.25118004045853,1.859238862991333,1.5693801085154215,47.08140325546265
20,30,0.0001,Adam,500,0.26567768037761297,2.015643358230591,1.5026830673217773,45.08049201965332
21,30,0.0001,SGD,100,0.17161159811193527,2.506357431411743,2.8060786485672,84.18235945701599
22,30,0.0001,SGD,250,0.16621712744436953,2.556832790374756,1.5798338651657104,47.39501595497131
23,30,0.0001,SGD,500,0.16756574511126096,2.5822958946228027,1.498983589808146,44.969507694244385
24,30,0.001,Adam,100,0.2157788267026298,1.6811689138412476,2.827459732691447,84.82379198074341
25,30,0.001,Adam,250,0.2397167902899528,2.0564591884613037,1.559005570411682,46.770167112350464
26,30,0.001,Adam,500,0.24241402562373568,1.9065392017364502,1.6200854937235514,48.60256481170654
27,30,0.001,SGD,100,0.2157788267026298,2.3211910724639893,2.702096764246623,81.06290292739868
28,30,0.001,SGD,250,0.18880647336480108,2.438277006149292,1.4672628402709962,44.01788520812988
29,30,0.001,SGD,500,0.1803776129467296,2.512686252593994,1.4231791496276855,42.695374488830566
30,30,0.01,Adam,100,0.16790289952798382,13.815511703491211,2.7636989911397296,82.9109697341919
31,30,0.01,Adam,250,0.07889413351314903,15.043557167053223,1.5114969253540038,45.34490776062012
32,30,0.01,Adam,500,0.07889413351314903,15.246850967407227,1.4472749948501586,43.41824984550476
33,30,0.01,SGD,100,0.25084288604180716,1.9711863994598389,2.520094720522563,75.60284161567688
34,30,0.01,SGD,250,0.23364801078894135,2.1858770847320557,1.444651476542155,43.33954429626465
35,30,0.01,SGD,500,0.22420768712070127,2.3131229877471924,1.4291823705037434,42.875471115112305
