,dropout_approach,weight_decay,learning_rate,f1_score,loss,time_per_epoch,time
0,None,,0.001,0.3621038435603506,0.13105331361293793,4.250050134658814,106.25125336647034
1,None,,0.0001,0.4076196898179366,1.1338694095611572,4.231222372055054,105.78055930137634
2,None,0.01,0.001,0.16790289952798382,2.5627713203430176,5.430565385818482,135.76413464546204
3,None,0.01,0.0001,0.16790289952798382,2.5622878074645996,5.444195327758789,136.10488319396973
4,None,0.001,0.001,0.3186109238031018,1.449589729309082,5.435946531295777,135.8986632823944
5,None,0.001,0.0001,0.24915711395819284,2.215331792831421,5.4208118724823,135.5202968120575
6,None,0.0001,0.001,0.3573836817262307,0.15458132326602936,5.413004350662232,135.3251087665558
7,None,0.0001,0.0001,0.39008766014834795,1.4410722255706787,5.431526136398316,135.78815340995789
8,conv,,0.001,0.3523263654753877,0.1699538677930832,4.244245986938477,106.10614967346191
9,conv,,0.0001,0.4079568442346595,1.1647531986236572,4.260235471725464,106.5058867931366
10,conv,0.01,0.001,0.16790289952798382,2.5627713203430176,5.39458119392395,134.86452984809875
11,conv,0.01,0.0001,0.16790289952798382,2.5622849464416504,5.42477011680603,135.61925292015076
12,conv,0.001,0.001,0.3351314902225219,1.4019334316253662,5.46435583114624,136.608895778656
13,conv,0.001,0.0001,0.2542144302090357,2.2137351036071777,5.4556671905517575,136.39167976379395
14,conv,0.0001,0.001,0.34895482130815914,0.17733286321163177,5.439557361602783,135.98893404006958
15,conv,0.0001,0.0001,0.3978422117329737,1.3881165981292725,5.411377439498901,135.28443598747253
16,dense,,0.001,0.3641267700606878,0.11387746781110764,4.203071546554566,105.07678866386414
17,dense,,0.0001,0.4055967633175995,1.1463730335235596,4.18026515007019,104.50662875175476
18,dense,0.01,0.001,0.17161159811193527,2.537632465362549,5.363372554779053,134.08431386947632
19,dense,0.01,0.0001,0.16790289952798382,2.562279462814331,5.429202518463135,135.73006296157837
20,dense,0.001,0.001,0.3533378287255563,1.3863712549209595,5.389703845977783,134.74259614944458
21,dense,0.001,0.0001,0.2528658125421443,2.215766429901123,5.366023359298706,134.15058398246765
22,dense,0.0001,0.001,0.37289278489548205,0.16760078072547913,5.368810243606568,134.22025609016418
23,dense,0.0001,0.0001,0.3873904248145651,1.4006177186965942,5.379553127288818,134.48882818222046
24,conv+dense,,0.001,0.36008091706001355,0.1544116884469986,4.215784673690796,105.3946168422699
25,conv+dense,,0.0001,0.41233985165205667,1.1090083122253418,4.206243991851807,105.15609979629517
26,conv+dense,0.01,0.001,0.16790289952798382,2.562838554382324,5.364793176651001,134.11982941627502
27,conv+dense,0.01,0.0001,0.16790289952798382,2.5622763633728027,5.384675035476684,134.61687588691711
28,conv+dense,0.001,0.001,0.351652056641942,1.1212531328201294,5.393688707351685,134.84221768379211
29,conv+dense,0.001,0.0001,0.24915711395819284,2.2174010276794434,5.3617823123931885,134.0445578098297
30,conv+dense,0.0001,0.001,0.3580579905596763,0.14529404044151306,5.339528741836548,133.4882185459137
31,conv+dense,0.0001,0.0001,0.3914362778152394,1.4559165239334106,5.328497104644775,133.21242761611938
